[2024-07-26 21:46:21,929]  __main__ | INFO | Test
[2024-08-01 20:36:22,209]  logging_config | DEBUG | Calling function: update_item_progress
[2024-08-01 20:36:22,348]  logging_config | DEBUG | Function update_item_progress finished
[2024-08-01 20:36:22,363]  logging_config | DEBUG | Calling function: get_adv_count
[2024-08-01 20:36:22,460]  logging_config | DEBUG | Function get_adv_count finished
[2024-08-01 20:36:22,461]  logging_config | DEBUG | Calling function: update_overlay
[2024-08-01 20:36:24,501]  logging_config | DEBUG | Function update_overlay finished
[2024-08-01 20:41:22,210]  logging_config | DEBUG | Calling function: check_logs
[2024-08-01 20:41:22,210]  logging_config | DEBUG | Function check_logs finished
[2024-08-01 20:41:22,210]  logging_config | DEBUG | Calling function: update_first_completions
[2024-08-01 20:41:22,210]  logging_config | DEBUG | Function update_first_completions finished
[2024-08-01 20:41:22,210]  __main__ | INFO | Checking Advancement file
[2024-08-01 20:41:22,210]  logging_config | DEBUG | Calling function: check_adv_directory
[2024-08-01 20:41:22,211]  logging_config | DEBUG | Function check_adv_directory finished
[2024-08-01 20:41:22,211]  logging_config | DEBUG | Calling function: update_advancement_progress
[2024-08-01 20:41:22,211]  logging_config | DEBUG | Function update_advancement_progress finished
[2024-08-01 20:41:22,211]  logging_config | DEBUG | Calling function: update_item_progress
[2024-08-01 20:41:22,440]  logging_config | DEBUG | Function update_item_progress finished
[2024-08-01 20:41:22,455]  logging_config | DEBUG | Calling function: get_adv_count
[2024-08-01 20:41:22,563]  logging_config | DEBUG | Function get_adv_count finished
[2024-08-01 20:41:22,564]  logging_config | DEBUG | Calling function: update_overlay
[2024-08-01 20:41:24,607]  logging_config | DEBUG | Function update_overlay finished
[2024-08-01 20:46:22,224]  logging_config | DEBUG | Calling function: check_logs
[2024-08-01 20:46:22,224]  logging_config | DEBUG | Function check_logs finished
[2024-08-01 20:46:22,224]  logging_config | DEBUG | Calling function: update_first_completions
[2024-08-01 20:46:22,224]  logging_config | DEBUG | Function update_first_completions finished
[2024-08-01 20:46:22,224]  __main__ | INFO | Checking Advancement file
[2024-08-01 20:46:22,224]  logging_config | DEBUG | Calling function: check_adv_directory
[2024-08-01 20:46:22,226]  logging_config | DEBUG | Function check_adv_directory finished
[2024-08-01 20:46:22,226]  logging_config | DEBUG | Calling function: update_advancement_progress
[2024-08-01 20:46:22,226]  logging_config | DEBUG | Function update_advancement_progress finished
[2024-08-01 20:46:22,226]  logging_config | DEBUG | Calling function: update_item_progress
[2024-08-01 20:46:22,422]  logging_config | DEBUG | Function update_item_progress finished
[2024-08-01 20:46:22,437]  logging_config | DEBUG | Calling function: get_adv_count
[2024-08-01 20:46:22,537]  logging_config | DEBUG | Function get_adv_count finished
[2024-08-01 20:46:22,537]  logging_config | DEBUG | Calling function: update_overlay
[2024-08-01 20:46:24,587]  logging_config | DEBUG | Function update_overlay finished
[2024-08-01 20:51:22,235]  logging_config | DEBUG | Calling function: check_logs
[2024-08-01 20:51:22,235]  logging_config | DEBUG | Function check_logs finished
[2024-08-01 20:51:22,235]  logging_config | DEBUG | Calling function: update_first_completions
[2024-08-01 20:51:22,235]  logging_config | DEBUG | Function update_first_completions finished
[2024-08-01 20:51:22,235]  __main__ | INFO | Checking Advancement file
[2024-08-01 20:51:22,235]  logging_config | DEBUG | Calling function: check_adv_directory
[2024-08-01 20:51:22,236]  logging_config | DEBUG | Function check_adv_directory finished
[2024-08-01 20:51:22,236]  logging_config | DEBUG | Calling function: update_advancement_progress
[2024-08-01 20:51:22,236]  logging_config | DEBUG | Function update_advancement_progress finished
[2024-08-01 20:51:22,236]  logging_config | DEBUG | Calling function: update_item_progress
[2024-08-01 20:51:22,479]  logging_config | DEBUG | Function update_item_progress finished
[2024-08-01 20:51:22,492]  logging_config | DEBUG | Calling function: get_adv_count
[2024-08-01 20:51:22,607]  logging_config | DEBUG | Function get_adv_count finished
[2024-08-01 20:51:22,608]  logging_config | DEBUG | Calling function: update_overlay
[2024-08-01 20:51:24,651]  logging_config | DEBUG | Function update_overlay finished
[2024-08-01 20:56:22,239]  logging_config | DEBUG | Calling function: check_logs
[2024-08-01 20:56:22,239]  logging_config | DEBUG | Function check_logs finished
[2024-08-01 20:56:22,239]  logging_config | DEBUG | Calling function: update_first_completions
[2024-08-01 20:56:22,239]  logging_config | DEBUG | Function update_first_completions finished
[2024-08-01 20:56:22,239]  __main__ | INFO | Checking Advancement file
[2024-08-01 20:56:22,239]  logging_config | DEBUG | Calling function: check_adv_directory
[2024-08-01 20:56:22,240]  logging_config | DEBUG | Function check_adv_directory finished
[2024-08-01 20:56:22,240]  logging_config | DEBUG | Calling function: update_advancement_progress
[2024-08-01 20:56:22,240]  logging_config | DEBUG | Function update_advancement_progress finished
[2024-08-01 20:56:22,241]  logging_config | DEBUG | Calling function: update_item_progress
[2024-08-01 20:56:22,428]  logging_config | DEBUG | Function update_item_progress finished
[2024-08-01 20:56:22,442]  logging_config | DEBUG | Calling function: get_adv_count
[2024-08-01 20:56:22,590]  logging_config | DEBUG | Function get_adv_count finished
[2024-08-01 20:56:22,590]  logging_config | DEBUG | Calling function: update_overlay
[2024-08-01 20:56:24,625]  logging_config | DEBUG | Function update_overlay finished
[2024-08-01 21:01:22,244]  logging_config | DEBUG | Calling function: check_logs
[2024-08-01 21:01:22,244]  logging_config | DEBUG | Function check_logs finished
[2024-08-01 21:01:22,244]  logging_config | DEBUG | Calling function: update_first_completions
[2024-08-01 21:01:22,244]  logging_config | DEBUG | Function update_first_completions finished
[2024-08-01 21:01:22,244]  __main__ | INFO | Checking Advancement file
[2024-08-01 21:01:22,244]  logging_config | DEBUG | Calling function: check_adv_directory
[2024-08-01 21:01:22,245]  logging_config | DEBUG | Function check_adv_directory finished
[2024-08-01 21:01:22,245]  logging_config | DEBUG | Calling function: update_advancement_progress
[2024-08-01 21:01:22,245]  logging_config | DEBUG | Function update_advancement_progress finished
[2024-08-01 21:01:22,245]  logging_config | DEBUG | Calling function: update_item_progress
[2024-08-01 21:01:22,392]  logging_config | DEBUG | Function update_item_progress finished
[2024-08-01 21:01:22,406]  logging_config | DEBUG | Calling function: get_adv_count
[2024-08-01 21:01:22,567]  logging_config | DEBUG | Function get_adv_count finished
[2024-08-01 21:01:22,567]  logging_config | DEBUG | Calling function: update_overlay
[2024-08-01 21:01:24,609]  logging_config | DEBUG | Function update_overlay finished
[2024-08-01 21:06:22,247]  logging_config | DEBUG | Calling function: check_logs
[2024-08-01 21:06:22,247]  logging_config | DEBUG | Function check_logs finished
[2024-08-01 21:06:22,247]  logging_config | DEBUG | Calling function: update_first_completions
[2024-08-01 21:06:22,247]  logging_config | DEBUG | Function update_first_completions finished
[2024-08-01 21:06:22,247]  __main__ | INFO | Checking Advancement file
[2024-08-01 21:06:22,247]  logging_config | DEBUG | Calling function: check_adv_directory
[2024-08-01 21:06:22,248]  logging_config | DEBUG | Function check_adv_directory finished
[2024-08-01 21:06:22,248]  logging_config | DEBUG | Calling function: update_advancement_progress
[2024-08-01 21:06:22,248]  logging_config | DEBUG | Function update_advancement_progress finished
[2024-08-01 21:06:22,248]  logging_config | DEBUG | Calling function: update_item_progress
[2024-08-01 21:06:22,417]  logging_config | DEBUG | Function update_item_progress finished
[2024-08-01 21:06:22,430]  logging_config | DEBUG | Calling function: get_adv_count
[2024-08-01 21:06:22,534]  logging_config | DEBUG | Function get_adv_count finished
[2024-08-01 21:06:22,534]  logging_config | DEBUG | Calling function: update_overlay
[2024-08-01 21:06:24,558]  logging_config | DEBUG | Function update_overlay finished
[2024-08-01 21:11:22,259]  logging_config | DEBUG | Calling function: check_logs
[2024-08-01 21:11:22,259]  logging_config | DEBUG | Function check_logs finished
[2024-08-01 21:11:22,259]  logging_config | DEBUG | Calling function: update_first_completions
[2024-08-01 21:11:22,259]  logging_config | DEBUG | Function update_first_completions finished
[2024-08-01 21:11:22,259]  __main__ | INFO | Checking Advancement file
[2024-08-01 21:11:22,260]  logging_config | DEBUG | Calling function: check_adv_directory
[2024-08-01 21:11:22,260]  logging_config | DEBUG | Function check_adv_directory finished
[2024-08-01 21:11:22,260]  logging_config | DEBUG | Calling function: update_advancement_progress
[2024-08-01 21:11:22,261]  logging_config | DEBUG | Function update_advancement_progress finished
[2024-08-01 21:11:22,261]  logging_config | DEBUG | Calling function: update_item_progress
[2024-08-01 21:11:22,481]  logging_config | DEBUG | Function update_item_progress finished
[2024-08-01 21:11:22,495]  logging_config | DEBUG | Calling function: get_adv_count
[2024-08-01 21:11:22,691]  logging_config | DEBUG | Function get_adv_count finished
[2024-08-01 21:11:22,691]  logging_config | DEBUG | Calling function: update_overlay
[2024-08-01 21:11:24,727]  logging_config | DEBUG | Function update_overlay finished
[2024-08-01 21:16:22,266]  logging_config | DEBUG | Calling function: check_logs
[2024-08-01 21:16:22,266]  logging_config | DEBUG | Function check_logs finished
[2024-08-01 21:16:22,266]  logging_config | DEBUG | Calling function: update_first_completions
[2024-08-01 21:16:22,266]  logging_config | DEBUG | Function update_first_completions finished
[2024-08-01 21:16:22,266]  __main__ | INFO | Checking Advancement file
[2024-08-01 21:16:22,266]  logging_config | DEBUG | Calling function: check_adv_directory
[2024-08-01 21:16:22,267]  logging_config | DEBUG | Function check_adv_directory finished
[2024-08-01 21:16:22,267]  logging_config | DEBUG | Calling function: update_advancement_progress
[2024-08-01 21:16:22,267]  logging_config | DEBUG | Function update_advancement_progress finished
[2024-08-01 21:16:22,268]  logging_config | DEBUG | Calling function: update_item_progress
[2024-08-01 21:16:22,419]  logging_config | DEBUG | Function update_item_progress finished
[2024-08-01 21:16:22,436]  logging_config | DEBUG | Calling function: get_adv_count
[2024-08-01 21:16:22,549]  logging_config | DEBUG | Function get_adv_count finished
[2024-08-01 21:16:22,549]  logging_config | DEBUG | Calling function: update_overlay
[2024-08-01 21:16:24,606]  logging_config | DEBUG | Function update_overlay finished
[2024-08-01 21:21:22,279]  logging_config | DEBUG | Calling function: check_logs
[2024-08-01 21:21:22,279]  logging_config | DEBUG | Function check_logs finished
[2024-08-01 21:21:22,279]  logging_config | DEBUG | Calling function: update_first_completions
[2024-08-01 21:21:22,279]  logging_config | DEBUG | Function update_first_completions finished
[2024-08-01 21:21:22,279]  __main__ | INFO | Checking Advancement file
[2024-08-01 21:21:22,279]  logging_config | DEBUG | Calling function: check_adv_directory
[2024-08-01 21:21:22,281]  logging_config | DEBUG | Function check_adv_directory finished
[2024-08-01 21:21:22,281]  logging_config | DEBUG | Calling function: update_advancement_progress
[2024-08-01 21:21:22,281]  logging_config | DEBUG | Function update_advancement_progress finished
[2024-08-01 21:21:22,281]  logging_config | DEBUG | Calling function: update_item_progress
[2024-08-01 21:21:22,473]  logging_config | DEBUG | Function update_item_progress finished
[2024-08-01 21:21:22,489]  logging_config | DEBUG | Calling function: get_adv_count
[2024-08-01 21:21:22,589]  logging_config | DEBUG | Function get_adv_count finished
[2024-08-01 21:21:22,589]  logging_config | DEBUG | Calling function: update_overlay
[2024-08-01 21:21:24,618]  logging_config | DEBUG | Function update_overlay finished
[2024-08-01 21:26:22,287]  logging_config | DEBUG | Calling function: check_logs
[2024-08-01 21:26:22,287]  logging_config | DEBUG | Function check_logs finished
[2024-08-01 21:26:22,287]  logging_config | DEBUG | Calling function: update_first_completions
[2024-08-01 21:26:22,287]  logging_config | DEBUG | Function update_first_completions finished
[2024-08-01 21:26:22,287]  __main__ | INFO | Checking Advancement file
[2024-08-01 21:26:22,287]  logging_config | DEBUG | Calling function: check_adv_directory
[2024-08-01 21:26:22,288]  logging_config | DEBUG | Function check_adv_directory finished
[2024-08-01 21:26:22,288]  logging_config | DEBUG | Calling function: update_advancement_progress
[2024-08-01 21:26:22,288]  logging_config | DEBUG | Function update_advancement_progress finished
[2024-08-01 21:26:22,288]  logging_config | DEBUG | Calling function: update_item_progress
[2024-08-01 21:26:22,520]  logging_config | DEBUG | Function update_item_progress finished
[2024-08-01 21:26:22,534]  logging_config | DEBUG | Calling function: get_adv_count
[2024-08-01 21:26:22,643]  logging_config | DEBUG | Function get_adv_count finished
[2024-08-01 21:26:22,643]  logging_config | DEBUG | Calling function: update_overlay
[2024-08-01 21:26:24,680]  logging_config | DEBUG | Function update_overlay finished
[2024-08-01 21:31:22,290]  logging_config | DEBUG | Calling function: check_logs
[2024-08-01 21:31:22,290]  logging_config | DEBUG | Function check_logs finished
[2024-08-01 21:31:22,290]  logging_config | DEBUG | Calling function: update_first_completions
[2024-08-01 21:31:22,290]  logging_config | DEBUG | Function update_first_completions finished
[2024-08-01 21:31:22,290]  __main__ | INFO | Checking Advancement file
[2024-08-01 21:31:22,290]  logging_config | DEBUG | Calling function: check_adv_directory
[2024-08-01 21:31:22,291]  logging_config | DEBUG | Function check_adv_directory finished
[2024-08-01 21:31:22,291]  logging_config | DEBUG | Calling function: update_advancement_progress
[2024-08-01 21:31:22,291]  logging_config | DEBUG | Function update_advancement_progress finished
[2024-08-01 21:31:22,291]  logging_config | DEBUG | Calling function: update_item_progress
[2024-08-01 21:31:22,488]  logging_config | DEBUG | Function update_item_progress finished
[2024-08-01 21:31:22,502]  logging_config | DEBUG | Calling function: get_adv_count
[2024-08-01 21:31:22,604]  logging_config | DEBUG | Function get_adv_count finished
[2024-08-01 21:31:22,604]  logging_config | DEBUG | Calling function: update_overlay
[2024-08-01 21:31:24,636]  logging_config | DEBUG | Function update_overlay finished
[2024-08-01 21:36:22,290]  logging_config | DEBUG | Calling function: check_logs
[2024-08-01 21:36:22,290]  logging_config | DEBUG | Function check_logs finished
[2024-08-01 21:36:22,290]  logging_config | DEBUG | Calling function: update_first_completions
[2024-08-01 21:36:22,290]  logging_config | DEBUG | Function update_first_completions finished
[2024-08-01 21:36:22,290]  __main__ | INFO | Checking Advancement file
[2024-08-01 21:36:22,290]  logging_config | DEBUG | Calling function: check_adv_directory
[2024-08-01 21:36:22,291]  logging_config | DEBUG | Function check_adv_directory finished
[2024-08-01 21:36:22,291]  logging_config | DEBUG | Calling function: update_advancement_progress
[2024-08-01 21:36:22,292]  logging_config | DEBUG | Function update_advancement_progress finished
[2024-08-01 21:36:22,292]  logging_config | DEBUG | Calling function: update_item_progress
[2024-08-01 21:36:22,581]  logging_config | DEBUG | Function update_item_progress finished
[2024-08-01 21:36:22,597]  logging_config | DEBUG | Calling function: get_adv_count
[2024-08-01 21:36:22,749]  logging_config | DEBUG | Function get_adv_count finished
[2024-08-01 21:36:22,749]  logging_config | DEBUG | Calling function: update_overlay
[2024-08-01 21:36:24,789]  logging_config | DEBUG | Function update_overlay finished
[2024-08-01 22:14:48,739]  __main__ | INFO | 


Program Started!



[2024-08-01 22:14:49,501]  __main__ | ERROR | 'statistics_enabled'
[2024-08-01 22:15:52,539]  __main__ | INFO | 


Program Started!



[2024-08-01 22:15:53,192]  __main__ | ERROR | 'statistics_enabled'
Traceback (most recent call last):
  File "c:\Users\Andrew\Desktop\bac_tracker\src\tracker.py", line 81, in <module>
    main()
  File "c:\Users\Andrew\Desktop\bac_tracker\src\tracker.py", line 28, in main
    statistics = utils.get_Statistics(settings, cwd)
  File "c:\Users\Andrew\Desktop\bac_tracker\src\tracker_utils.py", line 40, in get_Statistics
    if not settings["statistics_enabled"]:
KeyError: 'statistics_enabled'
[2024-08-01 22:16:08,529]  __main__ | INFO | 


Program Started!



[2024-08-01 22:16:09,204]  __main__ | INFO | Refresh Rate: 60
Save Time: 60
Max Advs: 627
[2024-08-01 22:16:09,204]  __main__ | INFO | Setup complete, entering main loop
[2024-08-01 22:16:09,205]  __main__ | INFO | Checking Advancement file
[2024-08-01 22:16:09,228]  sheets | INFO | Batch update item progress: 4
[2024-08-01 22:16:09,363]  __main__ | ERROR | 'player'
Traceback (most recent call last):
  File "c:\Users\Andrew\Desktop\bac_tracker\src\tracker.py", line 81, in <module>
    main()
  File "c:\Users\Andrew\Desktop\bac_tracker\src\tracker.py", line 54, in main
    utils.update_stat_progress(sheets_manager, stats_data, scoreboard_data)
  File "c:\Users\Andrew\Desktop\bac_tracker\src\logging_config.py", line 44, in wrapper
    result = func(*args, **kwargs)
  File "c:\Users\Andrew\Desktop\bac_tracker\src\tracker_utils.py", line 111, in update_stat_progress
    return sheets_manager.update_stat_progress(stats_data, scoreboard_data)
  File "c:\Users\Andrew\Desktop\bac_tracker\src\sheets.py", line 157, in update_stat_progress
    who = data['player']
KeyError: 'player'
[2024-08-01 22:17:07,406]  __main__ | INFO | 


Program Started!



[2024-08-01 22:17:08,350]  __main__ | INFO | Refresh Rate: 60
Save Time: 60
Max Advs: 627
[2024-08-01 22:17:08,351]  __main__ | INFO | Setup complete, entering main loop
[2024-08-01 22:17:08,351]  __main__ | INFO | Checking Advancement file
[2024-08-01 22:17:08,368]  sheets | INFO | Batch update item progress: 4
[2024-08-01 22:17:08,487]  __main__ | ERROR | object of type 'NoneType' has no len()
Traceback (most recent call last):
  File "c:\Users\Andrew\Desktop\bac_tracker\src\tracker.py", line 81, in <module>
    main()
  File "c:\Users\Andrew\Desktop\bac_tracker\src\tracker.py", line 54, in main
    utils.update_stat_progress(sheets_manager, stats_data, scoreboard_data)
  File "c:\Users\Andrew\Desktop\bac_tracker\src\logging_config.py", line 44, in wrapper
    result = func(*args, **kwargs)
  File "c:\Users\Andrew\Desktop\bac_tracker\src\tracker_utils.py", line 111, in update_stat_progress
    return sheets_manager.update_stat_progress(stats_data, scoreboard_data)
  File "c:\Users\Andrew\Desktop\bac_tracker\src\sheets.py", line 166, in update_stat_progress
    'values': [[self.get_face(who)]]
  File "c:\Users\Andrew\Desktop\bac_tracker\src\sheets.py", line 195, in get_face
    face_url = self.player_data.get_face_url(player_name)
  File "c:\Users\Andrew\Desktop\bac_tracker\src\player_data.py", line 47, in get_face_url
    if len(name) <= 16:
TypeError: object of type 'NoneType' has no len()
[2024-08-01 22:29:29,639]  __main__ | INFO | 


Program Started!



[2024-08-01 22:29:30,488]  __main__ | INFO | Refresh Rate: 60
Save Time: 60
Max Advs: 627
[2024-08-01 22:29:30,488]  __main__ | INFO | Setup complete, entering main loop
[2024-08-01 22:29:30,489]  __main__ | INFO | Checking Advancement file
[2024-08-01 22:29:30,506]  sheets | INFO | Batch update item progress: 4
[2024-08-01 22:29:30,951]  sheets | INFO | Batch update item progress: 74
[2024-08-01 22:30:30,495]  __main__ | INFO | Checking Advancement file
[2024-08-01 22:30:30,515]  sheets | INFO | Batch update item progress: 4
[2024-08-01 22:30:30,628]  sheets | INFO | Batch update item progress: 74
[2024-08-01 22:30:33,944]  __main__ | INFO | 


Program Started!



[2024-08-01 22:30:34,648]  __main__ | INFO | Refresh Rate: 60
Save Time: 60
Max Advs: 627
[2024-08-01 22:30:34,648]  __main__ | INFO | Setup complete, entering main loop
[2024-08-01 22:30:34,648]  __main__ | INFO | Checking Advancement file
[2024-08-01 22:30:34,666]  sheets | INFO | Batch update item progress: 4
[2024-08-01 22:30:35,084]  sheets | INFO | Batch update item progress: 74
[2024-08-01 22:31:56,066]  __main__ | INFO | 


Program Started!



[2024-08-01 22:31:56,717]  __main__ | INFO | Refresh Rate: 60
Save Time: 60
Max Advs: 627
[2024-08-01 22:31:56,717]  __main__ | INFO | Setup complete, entering main loop
[2024-08-01 22:31:56,717]  __main__ | INFO | Checking Advancement file
[2024-08-01 22:31:56,736]  sheets | INFO | Batch update item progress: 4
[2024-08-01 22:31:57,031]  sheets | INFO | Batch update item progress: 44
[2024-08-01 22:32:56,723]  __main__ | INFO | Checking Advancement file
[2024-08-01 22:32:56,739]  sheets | INFO | Batch update item progress: 4
[2024-08-01 22:32:56,910]  sheets | INFO | Batch update item progress: 44
[2024-08-01 22:33:56,734]  __main__ | INFO | Checking Advancement file
[2024-08-01 22:33:56,750]  sheets | INFO | Batch update item progress: 4
[2024-08-01 22:33:56,902]  sheets | INFO | Batch update item progress: 44
[2024-08-01 22:34:56,736]  __main__ | INFO | Checking Advancement file
[2024-08-01 22:34:56,753]  sheets | INFO | Batch update item progress: 4
[2024-08-01 22:34:56,863]  sheets | INFO | Batch update item progress: 44
[2024-08-01 22:35:09,099]  __main__ | INFO | 


Program Started!



[2024-08-01 22:35:09,798]  __main__ | INFO | Refresh Rate: 60
Save Time: 60
Max Advs: 627
[2024-08-01 22:35:09,799]  __main__ | INFO | Setup complete, entering main loop
[2024-08-01 22:35:09,799]  __main__ | INFO | Checking Advancement file
[2024-08-01 22:35:09,816]  sheets | INFO | Batch update item progress: 4
[2024-08-01 22:35:10,034]  sheets | INFO | Batch update item progress: 44
[2024-08-02 12:29:32,304]  __main__ | INFO | 


Program Started!



[2024-08-02 12:29:35,281]  __main__ | ERROR | raw stats
Traceback (most recent call last):
  File "C:\Users\Andrew\Desktop\bac_tracker\.venv\lib\site-packages\gspread\spreadsheet.py", line 327, in worksheet
    item = finditem(
  File "C:\Users\Andrew\Desktop\bac_tracker\.venv\lib\site-packages\gspread\utils.py", line 218, in finditem
    return next(item for item in seq if func(item))
StopIteration

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "c:\Users\Andrew\Desktop\bac_tracker\src\tracker.py", line 81, in <module>
    main()
  File "c:\Users\Andrew\Desktop\bac_tracker\src\tracker.py", line 22, in main
    sheets_manager = utils.get_SheetsManager(settings)
  File "c:\Users\Andrew\Desktop\bac_tracker\src\logging_config.py", line 44, in wrapper
    result = func(*args, **kwargs)
  File "c:\Users\Andrew\Desktop\bac_tracker\src\tracker_utils.py", line 49, in get_SheetsManager
    return SheetsManager(settings)
  File "c:\Users\Andrew\Desktop\bac_tracker\src\sheets.py", line 26, in __init__
    self.get_sheet_info("STATS_SHEET")
  File "c:\Users\Andrew\Desktop\bac_tracker\src\sheets.py", line 219, in get_sheet_info
    worksheet = self.conn.worksheet(sheet_format["name"])
  File "C:\Users\Andrew\Desktop\bac_tracker\.venv\lib\site-packages\gspread\spreadsheet.py", line 333, in worksheet
    raise WorksheetNotFound(title)
gspread.exceptions.WorksheetNotFound: raw stats
[2024-08-02 12:29:54,360]  __main__ | INFO | 


Program Started!



[2024-08-02 12:29:55,415]  __main__ | INFO | Refresh Rate: 60
Save Time: 60
Max Advs: 627
[2024-08-02 12:29:55,415]  __main__ | INFO | Setup complete, entering main loop
[2024-08-02 12:29:55,415]  __main__ | INFO | Checking Advancement file
[2024-08-02 12:29:55,446]  sheets | INFO | Batch update item progress: 34
[2024-08-02 12:29:55,809]  sheets | INFO | Batch update item progress: 47
[2024-08-02 12:30:55,421]  __main__ | INFO | Checking Advancement file
[2024-08-02 12:30:55,442]  sheets | INFO | Batch update item progress: 34
[2024-08-02 12:30:55,624]  sheets | INFO | Batch update item progress: 47
[2024-08-02 12:31:55,431]  __main__ | INFO | Checking Advancement file
[2024-08-02 12:31:55,450]  sheets | INFO | Batch update item progress: 34
[2024-08-02 12:31:55,629]  sheets | INFO | Batch update item progress: 47
[2024-08-02 12:31:59,936]  __main__ | INFO | 


Program Started!



[2024-08-02 12:32:00,910]  __main__ | INFO | Refresh Rate: 60
Save Time: 60
Max Advs: 627
[2024-08-02 12:32:00,910]  __main__ | INFO | Setup complete, entering main loop
[2024-08-02 12:32:00,910]  __main__ | INFO | Checking Advancement file
[2024-08-02 12:32:00,929]  sheets | INFO | Batch update item progress: 34
[2024-08-02 12:32:01,254]  sheets | INFO | Batch update stat progress: 47
[2024-08-02 12:33:00,918]  __main__ | INFO | Checking Advancement file
[2024-08-02 12:33:00,961]  sheets | INFO | Batch update item progress: 34
[2024-08-02 12:33:01,925]  sheets | INFO | Batch update stat progress: 47
[2024-08-02 12:34:00,929]  __main__ | INFO | Checking Advancement file
[2024-08-02 12:34:00,947]  sheets | INFO | Batch update item progress: 34
[2024-08-02 12:34:01,118]  sheets | INFO | Batch update stat progress: 47
[2024-08-02 12:35:00,933]  __main__ | INFO | Checking Advancement file
[2024-08-02 12:35:00,951]  sheets | INFO | Batch update item progress: 34
[2024-08-02 12:35:01,122]  sheets | INFO | Batch update stat progress: 47
[2024-08-02 12:35:17,930]  __main__ | INFO | 


Program Started!



[2024-08-02 12:35:18,979]  __main__ | INFO | Refresh Rate: 60
Save Time: 60
Max Advs: 627
[2024-08-02 12:35:18,979]  __main__ | INFO | Setup complete, entering main loop
[2024-08-02 12:35:18,980]  __main__ | INFO | Checking Advancement file
[2024-08-02 12:35:19,000]  tracker_utils | INFO | Sheets_manager or adv_data is None, skipping
[2024-08-02 12:35:19,000]  sheets | INFO | Batch update item progress: 34
[2024-08-02 12:35:19,432]  sheets | INFO | Batch update stat progress: 47
[2024-08-02 12:35:54,672]  __main__ | INFO | 


Program Started!



[2024-08-02 12:35:56,040]  __main__ | INFO | Refresh Rate: 60
Save Time: 60
Max Advs: 627
[2024-08-02 12:35:56,040]  __main__ | INFO | Setup complete, entering main loop
[2024-08-02 12:35:56,040]  __main__ | INFO | Checking Advancement file
[2024-08-02 12:35:56,041]  __main__ | INFO | Adv_data: {}
[2024-08-02 12:35:56,061]  tracker_utils | INFO | Sheets_manager or adv_data is None, skipping
[2024-08-02 12:35:56,061]  sheets | INFO | Batch update item progress: 34
[2024-08-02 12:35:56,353]  sheets | INFO | Batch update stat progress: 47
